key_mlbam,key_retro,ERA
671096,abboa001,3.87
672851,adonj001,6.45
645261,alcas001,4.14
671106,allel003,3.81
502624,andec001,5.42
542881,andet002,5.43
668933,ashcg001,4.76
665871,assaj001,3.05
658648,avilp001,3.22
642545,barrj003,5.68
605135,bassc001,3.6
656222,beekj001,5.95
678394,bellb002,4.24
621244,berrj001,3.64
676440,bibet001,2.98
674370,bidoo001,5.86
669456,biebs001,3.8
656232,bielb001,3.83
621389,blact002,5.54
621112,blacp001,4.43
669854,blanr001,4.5
571510,boydm001,5.45
674003,bradc003,4.81
680694,bradk001,2.86
671737,bradt002,5.59
605154,brebj001,3.99
666745,britj003,4.28
686613,browh001,4.98
518516,bumgm001,10.26
669203,burnc002,3.51
665795,cabre003,4.24
656288,canng001,4.32
471911,carrc003,6.8
622491,castl003,3.34
656302,ceasd001,4.58
677944,ceccs001,4.03
570666,cessl001,9.0
608638,charj001,3.56
650644,civaa001,3.46
605182,clevm001,3.77
502171,cobba001,3.87
543037,coleg001,2.63
672710,contr001,6.59
571578,corbp001,5.2
641482,cortn001,4.97
676710,crawk001,4.04
456501,cuetj001,6.02
675540,currx001,4.07
506433,darvy001,4.56
605200,daviz001,7.0
543101,desca001,4.88
672282,detmr001,4.48
689266,doddd001,7.6
641540,dunnd001,3.76
621107,efliz001,3.65
693821,eldeb001,4.06
543135,eovan001,3.49
656412,faeda001,4.45
663559,faltb001,5.36
663372,feltr001,5.82
656427,flahj002,4.98
623167,flexc001,6.86
641585,franj006,4.0
607536,freek001,5.03
608331,friem001,2.76
660261,fujis001,7.18
683769,gaddh001,4.5
668678,gallz001,3.62
666129,garrb001,3.71
592332,gausk001,3.24
593334,germd001,4.56
502043,gibsk002,4.71
669302,gilbl002,3.73
608337,gioll001,4.88
607192,glast001,3.6
596295,gomba001,5.5
664062,gonst001,4.98
594835,gonzm005,5.22
669022,gorem001,4.42
592351,grayj003,4.03
680686,grayj004,3.91
543243,grays001,2.84
668881,greeh001,4.82
425844,greiz001,5.06
675627,grovm001,6.08
676106,hance001,4.5
663687,harrh002,7.14
571760,heana001,4.15
543294,hendk001,3.74
674072,henrt001,4.15
448179,hillr001,5.41
663773,hoeib001,5.48
656557,houct001,5.01
605288,housa001,4.12
641712,hudsd002,4.98
608344,irvic001,4.42
663623,irvij001,4.61
664299,javic001,4.53
621076,kaprj001,6.34
641745,kellb003,4.57
656605,kellm003,4.21
518876,kellm002,3.17
477132,kersc001,2.86
572971,keucd001,5.97
579328,kikuy001,3.88
650633,kingm002,2.75
669923,kirbg001,3.35
446372,klubc001,7.04
656629,kopem001,5.43
665152,kremd001,4.39
641771,kuhlc001,8.45
663567,lambp001,5.36
641778,lauee001,6.56
669461,libem001,5.25
641793,littz001,4.01
594902,liveb001,5.38
666157,lodon001,6.29
641154,lopep002,3.48
547179,lorem002,4.1
664192,luccj001,2.89
607625,lugos001,3.57
666200,luzaj001,3.65
543475,lylej001,6.28
663738,lyncd001,4.64
458681,lynnl001,5.84
628317,maedk001,4.32
641816,mahlt001,3.16
640455,manas001,4.44
666159,mannm001,3.58
666201,manoa001,5.87
679525,marsa001,5.69
607259,martn002,3.43
571927,matzs001,3.86
663556,mccls003,3.29
607644,meanj001,2.66
665622,medil002,5.42
656731,megit002,4.7
571945,mikom001,4.78
489119,milew001,3.14
676272,millb005,3.93
682243,millb004,4.32
656756,montj004,3.15
450203,mortc002,3.64
666205,mullk001,7.6
605397,musgj001,3.05
669194,nelsr003,5.33
605400,nolaa001,4.24
641927,oberb002,3.69
660271,ohtas001,3.14
681857,olsor001,3.99
682847,ortil003,4.78
670912,oviej001,4.31
641149,parsw001,20.25
572020,paxtj001,4.5
642547,peraf001,3.96
691587,peree004,3.15
527048,perem004,4.61
656849,peted003,5.03
694297,pfaab001,5.26
601713,piven001,4.04
682990,prieq001,7.74
615698,quanc001,5.24
500779,quinj001,3.57
666142,ragac001,3.47
656876,rasmd002,2.62
607067,rea-c001,4.55
670950,richt001,4.95
607074,rodoc001,6.85
593958,rodre004,3.3
680570,rodrg003,4.66
671131,rutlj002,6.75
657746,ryanj002,4.51
547943,ryu-h001,3.46
519242,salec001,4.3
650911,sancc002,3.45
663776,sandp002,4.11
453286,schem001,3.94
657376,schmc002,4.64
669947,schoj002,5.29
657756,seabc001,7.52
676664,searj001,4.54
673540,sengk001,2.98
622663,sevel001,6.65
686218,sheee001,5.06
694363,shusj001,5.81
681217,silsc001,3.96
663903,singb001,5.52
669373,skubt001,2.8
592767,smyld001,5.0
605483,snelb001,2.25
647336,sorom001,6.4
657006,steej002,3.06
621381,stram001,3.1
675911,stris002,3.79
548389,strir001,5.36
573186,strom001,3.95
660761,suarj001,8.29
624133,suarr001,3.88
592789,syndn001,6.5
592791,tailj001,4.84
527054,tehej001,4.4
668868,thomz002,4.48
657053,toust001,4.97
570632,urenj001,6.45
628711,uriaj001,4.6
664353,urquj001,5.3
664285,valdf001,3.77
686973,varll001,4.59
592826,velav001,3.86
434378,verlj001,3.19
608379,wachm001,3.22
425794,waina001,7.4
686610,waldk003,5.36
676254,walkr001,3.23
592836,walkt004,4.38
677960,weatr001,6.55
596133,weavl001,6.4
657277,webbl001,3.25
669330,wellt003,3.54
666214,wentj001,6.9
669713,wesnh001,4.63
554430,wheez001,3.4
676477,whitg002,5.15
696136,wickj001,4.41
668909,willg004,3.29
592866,willt002,5.55
682227,willb003,4.46
693433,woo-b001,4.21
622072,wooda002,4.33
605540,woodb005,2.28
657140,wrigk001,6.97
642232,yarbr001,4.52
